Datetime,Temperature,Humidity,WindSpeed,GeneralDiffuseFlows,DiffuseFlows,PowerConsumption_Zone1,PowerConsumption_Zone2,PowerConsumption_Zone3,Year,Month,Date,Hour,TimeOfDay,Season
1/1/2017 0:00,6.196833333333333,75.06666666666666,0.081833333,0.051,0.119,175187.8481,108160.4863,115512.2892,2017,1,1,0,3,4
1/1/2017 1:00,5.5488333333333335,77.58333333333333,0.082,0.048,0.096,147943.2911,96470.51672,102257.3494,2017,1,1,1,3,4
1/1/2017 2:00,5.054333333333333,78.93333333333334,0.082333333,0.07,0.096,132498.2278,85984.19453,94056.86747,2017,1,1,2,3,4
1/1/2017 3:00,5.004333333333333,77.08333333333333,0.082833333,0.066,0.108,124866.8354,79316.71732,89303.13253,2017,1,1,3,3,4
1/1/2017 4:00,5.097666666666666,74.05,0.082333333,0.044,0.134,122855.6962,77529.48328,85902.6506,2017,1,1,4,3,4
1/1/2017 5:00,4.741666666666666,75.23333333333333,0.081,0.055,0.134,124842.5316,78419.45289,86371.08433,2017,1,1,5,3,4
1/1/2017 6:00,4.571666666666666,75.75,0.082166667,0.062,0.126,129891.6456,81578.11551,87082.40963,2017,1,1,6,1,4
1/1/2017 7:00,4.453833333333333,73.39999999999999,0.082666667,0.048,0.152,111244.557,68699.08814,69316.62651,2017,1,1,7,1,4
1/1/2017 8:00,4.655166666666667,73.60000000000001,0.082666667,0.187,0.145,117630.37973999999,70431.61093,67142.16868,2017,1,1,8,1,4
1/1/2017 9:00,4.609166666666667,73.98333333333333,0.082166667,82.5,20.15,137431.89873000002,82887.538,78159.03614,2017,1,1,9,1,4
1/1/2017 10:00,6.145333333333333,69.635,3.7385,234.8,29.23,160113.4177,97396.9605,88811.56627,2017,1,1,10,1,4
1/1/2017 11:00,9.893333333333333,58.03666666666666,2.088166666666667,371.1,33.43,175728.6076,106632.2188,96005.78313,2017,1,1,11,1,4
1/1/2017 12:00,14.846666666666666,57.07833333333334,0.075666667,450.4,43.2,179337.7215,109127.0517,101118.07229000001,2017,1,1,12,2,4
